doc_id,well_id,doc_type,doc_date,gcs_uri,title,has_text_layer,_ingested_at,_source_system,_source_file,_batch_id
DOC-COMP-GK-132,GK-132,COMPLETION_REPORT,1982-11-07,gs://well-workover-intervention-data/documents/completion/GK-132_completion.pdf,Well Completion & CBL Report GK-132,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-020,GK-020,COMPLETION_REPORT,1988-08-18,gs://well-workover-intervention-data/documents/completion/GK-020_completion.pdf,Well Completion & CBL Report GK-020,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-082,GK-082,COMPLETION_REPORT,1994-02-01,gs://well-workover-intervention-data/documents/completion/GK-082_completion.pdf,Well Completion & CBL Report GK-082,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-097,GK-097,COMPLETION_REPORT,1974-02-12,gs://well-workover-intervention-data/documents/completion/GK-097_completion.pdf,Well Completion & CBL Report GK-097,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-057,GK-057,COMPLETION_REPORT,1996-10-23,gs://well-workover-intervention-data/documents/completion/GK-057_completion.pdf,Well Completion & CBL Report GK-057,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-013,GK-013,COMPLETION_REPORT,1986-11-19,gs://well-workover-intervention-data/documents/completion/GK-013_completion.pdf,Well Completion & CBL Report GK-013,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-099,GK-099,COMPLETION_REPORT,1979-03-05,gs://well-workover-intervention-data/documents/completion/GK-099_completion.pdf,Well Completion & CBL Report GK-099,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-066,GK-066,COMPLETION_REPORT,1994-10-19,gs://well-workover-intervention-data/documents/completion/GK-066_completion.pdf,Well Completion & CBL Report GK-066,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-067,GK-067,COMPLETION_REPORT,1981-01-17,gs://well-workover-intervention-data/documents/completion/GK-067_completion.pdf,Well Completion & CBL Report GK-067,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-019,GK-019,COMPLETION_REPORT,1990-03-02,gs://well-workover-intervention-data/documents/completion/GK-019_completion.pdf,Well Completion & CBL Report GK-019,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
