well_id,field,asset,latitude,longitude,spud_date,completion_date,current_zone,perf_top_m,perf_bottom_m,total_depth_md_m,total_depth_tvd_m,max_dls_deg_30m,lift_type,plunger_diameter_in,stroke_length_in,pump_setting_depth_m,rod_string_grade,pump_type,casing_vented,tubing_size_in,casing_size_in,status,_ingested_at,_source_system,_source_file,_batch_id
GK-001,Geleki,Assam,26.94252,94.80102,1983-10-03,1984-03-29,Tipam,2529.0,2573.6,2604.7,2585.2,,SRP,1.25,100.0,2477.8,K,INSERT,True,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-002,Geleki,Assam,26.931588,94.775853,1972-08-23,1972-12-14,Barail,2969.4,3001.7,3029.9,3004.5,,SRP,1.25,100.0,2937.3,K,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-003,Geleki,Assam,26.951205,94.80183,1974-05-20,1974-08-22,Tipam,2632.9,2660.3,2702.4,2685.2,,SRP,1.25,100.0,2486.5,K,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-004,Geleki,Assam,26.965553,94.819665,1976-01-20,1976-07-05,Tipam,3100.0,3124.7,3185.5,3153.2,,SRP,1.25,86.0,2968.0,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-005,Geleki,Assam,26.968527,94.819562,1979-02-01,1979-06-30,Barail,3253.5,3310.1,3332.6,3307.0,,SRP,1.5,86.0,3205.1,C,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-006,Geleki,Assam,26.984425,94.825869,1977-07-12,1977-12-08,Tipam,2424.1,2465.8,2489.9,2424.4,,SRP,1.5,74.0,2337.4,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-007,Geleki,Assam,26.934401,94.778042,1974-10-05,1975-01-06,Tipam,2742.0,2793.4,2847.9,2762.7,,SRP,1.5,54.0,2667.7,D,INSERT,True,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-008,Geleki,Assam,26.99467,94.8405,1989-01-01,1989-06-29,Lakadong,3647.7,3679.0,3718.3,3611.5,,SRP,1.25,64.0,3529.6,K,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-009,Geleki,Assam,26.950774,94.805878,1993-08-18,1993-12-10,Lakadong,4056.7,4107.4,4135.2,4013.4,,SRP,1.5,86.0,3997.7,K,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-010,Geleki,Assam,26.984953,94.837409,1986-06-01,1986-10-02,Tipam,2536.9,2572.6,2660.4,2621.8,,SRP,1.5,54.0,2388.4,C,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-011,Geleki,Assam,26.950123,94.797,1992-03-02,1992-07-30,Tipam,2808.9,2849.0,2873.6,2836.2,,SRP,1.25,74.0,2770.4,K,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-012,Geleki,Assam,26.987392,94.844945,1973-10-19,1974-03-07,Tipam,2861.3,2878.3,2958.3,2899.9,,GAS_LIFT,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-013,Geleki,Assam,26.969918,94.815339,1986-08-31,1986-11-19,Barail,3700.0,3731.6,3779.0,3700.3,,SRP,1.5,74.0,3568.5,K,INSERT,True,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-014,Geleki,Assam,26.963919,94.81648,1976-04-06,1976-07-11,Lakadong,3784.6,3841.4,3885.8,3834.4,,GAS_LIFT,,,,,,False,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-015,Geleki,Assam,26.937786,94.783162,1988-02-03,1988-05-16,Tipam,2924.1,2963.4,3013.0,2948.3,,SRP,1.25,54.0,2816.0,K,INSERT,False,3.5,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-016,Geleki,Assam,26.990457,94.840154,1981-05-13,1981-11-02,Barail,3118.7,3146.1,3187.0,3140.9,,GAS_LIFT,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-017,Geleki,Assam,26.980811,94.832962,1983-08-22,1984-01-14,Tipam,3063.1,3083.1,3152.3,3105.9,,SRP,1.25,86.0,3014.8,C,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-018,Geleki,Assam,26.937514,94.788454,1973-03-19,1973-06-30,Tipam,2893.2,2932.2,3003.9,2969.5,,SRP,1.5,74.0,2810.3,D,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-019,Geleki,Assam,26.947333,94.796666,1989-10-05,1990-03-02,Lakadong,3665.9,3722.4,3782.2,3700.0,,SRP,1.25,64.0,3562.2,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-020,Geleki,Assam,26.96961,94.829434,1988-03-23,1988-08-18,Tipam,3026.7,3084.1,3128.5,3040.6,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-021,Geleki,Assam,26.950981,94.803087,1968-10-16,1969-01-31,Tipam,2637.8,2650.0,2667.9,2609.2,,SRP,1.25,74.0,2578.0,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-022,Geleki,Assam,26.963535,94.818175,1971-01-11,1971-04-29,Tipam,2815.5,2828.8,2899.6,2823.3,,SRP,1.25,74.0,2721.8,C,INSERT,False,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-023,Geleki,Assam,26.974452,94.832425,1983-10-12,1984-03-27,Barail,2900.0,2934.4,2949.8,2877.0,,SRP,1.5,54.0,2819.4,K,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-024,Geleki,Assam,26.964692,94.808687,1977-12-09,1978-04-15,Lakadong,3528.6,3582.8,3625.8,3556.4,,GAS_LIFT,,,,,,False,3.5,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-025,Geleki,Assam,26.985966,94.835912,1981-04-04,1981-06-20,Lakadong,3947.5,3967.2,4040.3,3969.9,,SRP,1.25,86.0,3845.3,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-026,Geleki,Assam,26.949873,94.802167,1971-05-22,1971-10-15,Tipam,2796.4,2854.7,2942.0,2864.4,,SRP,1.5,100.0,2654.9,C,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-027,Geleki,Assam,26.951288,94.805684,1983-06-21,1983-10-29,Tipam,2541.7,2582.2,2663.1,2624.9,,SRP,1.5,64.0,2494.1,K,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-028,Geleki,Assam,26.975643,94.823461,1983-12-26,1984-04-25,Barail,2900.0,2950.9,3002.0,2944.6,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-029,Geleki,Assam,26.960844,94.80592,1984-12-10,1985-05-06,Tipam,2400.0,2441.1,2488.0,2452.5,,SRP,1.5,64.0,2268.9,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-030,Geleki,Assam,26.960769,94.813187,1990-05-24,1990-11-08,Lakadong,3802.7,3820.4,3895.0,3794.0,,SRP,1.25,54.0,3757.0,K,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-031,Geleki,Assam,26.978818,94.825668,1970-05-03,1970-08-10,Barail,3401.0,3427.6,3508.2,3488.6,,NATURAL,,,,,,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-032,Geleki,Assam,26.934752,94.777225,1977-10-10,1978-01-28,Tipam,2817.7,2852.0,2918.8,2892.3,,SRP,1.5,74.0,2776.8,K,INSERT,True,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-033,Geleki,Assam,26.968033,94.823625,1983-09-14,1983-12-05,Lakadong,3743.0,3773.1,3834.5,3811.5,,SRP,1.5,74.0,3681.9,K,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-034,Geleki,Assam,26.950462,94.811763,1982-11-02,1983-03-19,Tipam,2924.1,2961.2,2992.3,2966.9,,SRP,1.5,64.0,2791.4,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-035,Geleki,Assam,26.96385,94.804611,1980-03-31,1980-07-17,Tipam,2883.6,2912.1,2934.4,2850.2,,SRP,1.25,54.0,2817.4,D,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-036,Geleki,Assam,26.9686,94.818168,1977-01-14,1977-04-25,Barail,3367.5,3418.3,3506.4,3481.8,,SRP,1.5,86.0,3315.7,D,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-037,Geleki,Assam,26.934272,94.791893,1977-04-02,1977-08-23,Barail,3464.5,3518.3,3580.9,3524.6,,SRP,1.25,74.0,3348.5,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-038,Geleki,Assam,26.94787,94.787728,1977-03-15,1977-07-01,Barail,3406.9,3420.6,3475.7,3372.0,,GAS_LIFT,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
