episode_id,well_id,status,start_date,end_date,reason_code,is_rigless,workover_id,deferred_bbl,_ingested_at,_source_system,_source_file,_batch_id
EP-GK-001-001,GK-001,PRODUCING,2023-10-01,2023-12-21,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-002,GK-001,WAITING_ON_RIG,2023-12-22,2024-01-16,PUMP_WEAR,False,,1903.1,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-003,GK-001,UNDER_WORKOVER,2024-01-17,2024-01-24,PUMP_WEAR,False,WO-GK-001-003,634.4,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-004,GK-001,PRODUCING,2024-01-25,2024-09-01,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-005,GK-001,WAITING_ON_RIG,2024-09-02,2024-09-16,TUBING_LEAK,False,,1127.8,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-006,GK-001,UNDER_WORKOVER,2024-09-17,2024-09-21,TUBING_LEAK,False,WO-GK-001-006,422.9,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-007,GK-001,PRODUCING,2024-09-22,2025-06-01,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-008,GK-001,WAITING_ON_RIG,2025-06-02,2025-07-09,TUBING_LEAK,False,,2749.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-009,GK-001,UNDER_WORKOVER,2025-07-10,2025-07-21,TUBING_LEAK,False,WO-GK-001-009,916.3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-010,GK-001,PRODUCING,2025-07-22,2026-04-15,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-011,GK-001,WAITING_ON_RIG,2026-04-16,2026-06-17,WAX,False,,4511.2,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-012,GK-001,UNDER_WORKOVER,2026-06-18,2026-07-07,WAX,False,WO-GK-001-012,1480.2,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-001-013,GK-001,PRODUCING,2026-07-08,,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-001,GK-002,PRODUCING,2023-10-01,2023-11-10,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-002,GK-002,WAITING_ON_RIG,2023-11-11,2023-12-19,TUBING_LEAK,False,,4506.3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-003,GK-002,UNDER_WORKOVER,2023-12-20,2023-12-31,TUBING_LEAK,False,WO-GK-002-003,1464.6,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-004,GK-002,PRODUCING,2024-01-01,2024-05-31,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-005,GK-002,WAITING_ON_RIG,2024-06-01,2024-06-07,TUBING_LEAK,False,,901.3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-006,GK-002,UNDER_WORKOVER,2024-06-08,2024-06-09,TUBING_LEAK,False,WO-GK-002-006,338.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-007,GK-002,PRODUCING,2024-06-10,2024-12-01,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-008,GK-002,UNDER_WORKOVER,2024-12-02,2024-12-03,SURFACE,True,WO-GK-002-008,338.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-009,GK-002,PRODUCING,2024-12-04,2025-03-21,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-010,GK-002,WAITING_ON_RIG,2025-03-22,2025-03-28,PUMP_WEAR,False,,901.3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-011,GK-002,UNDER_WORKOVER,2025-03-29,2025-03-29,PUMP_WEAR,False,WO-GK-002-011,225.3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-012,GK-002,PRODUCING,2025-03-30,2025-09-20,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-013,GK-002,WAITING_ON_RIG,2025-09-21,2025-11-25,SUDDEN_MECH,False,,7548.1,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-014,GK-002,UNDER_WORKOVER,2025-11-26,2025-12-16,SUDDEN_MECH,False,WO-GK-002-014,2478.5,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-015,GK-002,PRODUCING,2025-12-17,2026-05-12,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-016,GK-002,WAITING_ON_RIG,2026-05-13,2026-05-19,SUDDEN_MECH,False,,901.3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-017,GK-002,UNDER_WORKOVER,2026-05-20,2026-05-21,SUDDEN_MECH,False,WO-GK-002-017,338.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-002-018,GK-002,PRODUCING,2026-05-22,,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-003-001,GK-003,PRODUCING,2023-10-01,2023-12-06,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-003-002,GK-003,WAITING_ON_RIG,2023-12-07,2024-02-20,TUBING_LEAK,False,,5728.8,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-003-003,GK-003,UNDER_WORKOVER,2024-02-21,2024-03-16,TUBING_LEAK,False,WO-GK-003-003,1934.4,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-003-004,GK-003,PRODUCING,2024-03-17,2024-09-30,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-003-005,GK-003,UNDER_WORKOVER,2024-10-01,2024-10-01,SURFACE,True,WO-GK-003-005,148.8,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
EP-GK-003-006,GK-003,PRODUCING,2024-10-02,2025-03-12,,,,0.0,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_status_history.parquet,BATCH-GELEKI-20260923-V1
